표찰번호,지번주소,설치일자,경도,위도
가족공원길01,대방동 17-27,20160823,126.9319453,37.50864876
가족공원길02,대방동 17-45,20160823,126.9316598,37.50850668
가족공원길03,대방동 15-17,20160823,126.9314563,37.50838944
가족공원길04,대방동 15-19,20160823,126.9312444,37.50826993
가족공원길05,대방동 15-10,20160823,126.9309929,37.50813013
가족공원길06,대방동 15-10,20160823,126.9306255,37.50791592
가족공원길08,대방동 503-2,20160823,126.9299753,37.50779616
가족공원길09,대방동 20-114,20160823,126.9298566,37.50772401
가족공원길10,대방동 20-124,20160823,126.9296305,37.50759773
가족공원길11,대방동 15-46,20160823,126.929331,37.50738582
가족공원길12,대방동 15-42,20160823,126.929122,37.5070816
가족공원길13,대방동 15-42,20160823,126.928927,37.5069621
가족공원길14,대방동 15-51,20160823,126.9286784,37.50679076
가족공원길15,대방동 15-51,20160823,126.9285795,37.50673214
가족공원길16,대방동 466-57,20160823,126.928359,37.50662163
가족공원길17,대방동 466-57,20160823,126.9281527,37.50651113
가족공원길18,대방동 466-57,20160823,126.9277825,37.50632169
가족공원길19,대방동 466-57,20160823,126.927285,37.50615245
가족공원길20,대방동 466-57,20160823,126.926974,37.506141
가족공원길21,대방동 466-57,20160823,126.9264961,37.50624882
가족공원길22,대방동 466-56,20160823,126.9262303,37.50626667
가족공원길23,대방동 466-56,20160823,126.92586,37.50612679
가족공원길24,대방동 466-56,20160823,126.9254813,37.50598915
가족공원길25,대방동 466-56,20160823,126.9251987,37.50586057
가족공원길26,대방동 466-56,20160823,126.9248058,37.50569364
가족공원길27,대방동 375-51,20160823,126.9244752,37.50551548
가족공원길28,대방동 350-2,20160823,126.9263573,37.50653705
가족공원길29,대방동 350-2,20160823,126.9263258,37.50689518
가족공원길30,대방동 350-2,20160823,126.9263369,37.50709567
가족공원길31,대방동 350-2,20160823,126.926348,37.50736823
가족공원길32,대방동 350-2,20160823,126.9263618,37.50769034
가족공원길33,대방동 350-2,20160823,126.9263249,37.50786376
가족공원길34,대방동 501-2,20160823,126.9261748,37.50809568
가족공원길35,대방동 501-1,20160823,126.9262904,37.50839308
가족공원길36,대방동 374-4,20160823,126.9231371,37.5061746
가족공원길37,대방동 466-39,20160823,126.9233295,37.50603507
가족공원길38,대방동 466-39,20160823,126.9235332,37.50590456
가족공원길39,대방동 466-39,20160823,126.9236804,37.50582356
가족공원길40,대방동 466-56,20160823,126.9241189,37.50558508
가족공원길41,대방동 466-56,20160823,126.9240539,37.5054589
가족공원길42,대방동 466-56,20160823,126.9238901,37.50529661
가족공원길43,대방동 466-40,20160823,126.9236698,37.50509374
가족공원길44,대방동 466-43,20160823,126.9232319,37.50469476
가족공원길45,대방동 466-43,20160823,126.9230483,37.50451669
가족공원길46,대방동 466-43,20160823,126.9228704,37.50434313
가족공원길47,대방동 466-43,20160823,126.9227404,37.50423268
